g-qp,t-qp,g-qp,t-qp,distance,bitrate,qoe
32,42,32,42,5,4.64,1
32,42,32,42,5,4.64,6
32,42,32,42,5,4.64,3
32,42,32,42,5,4.64,5
32,42,32,42,5,4.64,4
32,42,32,42,5,4.64,3
32,42,32,42,5,4.64,4
32,42,32,42,5,4.64,3
32,42,32,42,5,4.64,5
32,42,32,42,5,4.64,5
32,42,32,42,5,4.64,2
32,42,32,42,5,4.64,1
32,42,32,42,5,4.64,5
32,42,32,42,5,4.64,3
32,42,32,42,5,4.64,4
32,42,32,42,5,4.64,5
32,42,32,42,5,4.64,5
32,42,32,42,5,4.64,4
32,42,32,42,5,4.64,4
32,42,32,42,5,4.64,7
32,42,32,42,5,4.64,2
32,42,32,42,5,4.64,5
32,42,32,42,5,4.64,5
32,42,32,42,5,4.64,2
32,42,32,42,5,4.64,4
32,42,32,42,5,4.64,4
32,42,32,42,5,4.64,6
32,42,32,42,5,4.64,3
32,42,32,42,5,4.64,8
32,42,32,42,5,4.64,5
32,42,32,42,5,4.64,9
32,42,32,42,5,4.64,3
32,42,32,42,5,2.27,1
32,42,32,42,5,2.27,3
32,42,32,42,5,2.27,5
32,42,32,42,5,2.27,6
32,42,32,42,5,2.27,4
32,42,32,42,5,2.27,5
32,42,32,42,5,2.27,5
32,42,32,42,5,2.27,3
32,42,32,42,5,2.27,6
32,42,32,42,5,2.27,2
32,42,32,42,5,2.27,4
32,42,32,42,5,2.27,3
32,42,32,42,5,2.27,6
32,42,32,42,5,2.27,4
32,42,32,42,5,2.27,4
32,42,32,42,5,2.27,6
32,42,32,42,5,2.27,6
32,42,32,42,5,2.27,4
32,42,32,42,5,2.27,5
32,42,32,42,5,2.27,6
32,42,32,42,5,2.27,3
32,42,32,42,5,2.27,6
32,42,32,42,5,2.27,5
32,42,32,42,5,2.27,2
32,42,32,42,5,2.27,4
32,42,32,42,5,2.27,4
32,42,32,42,5,2.27,7
32,42,32,42,5,2.27,2
32,42,32,42,5,2.27,8
32,42,32,42,5,2.27,4
32,42,32,42,5,2.27,8
32,42,32,42,5,2.27,4
32,42,32,42,5,3.39,4
32,42,32,42,5,3.39,4
32,42,32,42,5,3.39,2
32,42,32,42,5,3.39,6
32,42,32,42,5,3.39,4
32,42,32,42,5,3.39,3
32,42,32,42,5,3.39,3
32,42,32,42,5,3.39,5
32,42,32,42,5,3.39,5
32,42,32,42,5,3.39,3
32,42,32,42,5,3.39,6
32,42,32,42,5,3.39,5
32,42,32,42,5,3.39,6
32,42,32,42,5,3.39,6
32,42,32,42,5,3.39,3
32,42,32,42,5,3.39,6
32,42,32,42,5,3.39,6
32,42,32,42,5,3.39,4
