user,objects,qoe,time
19,Soldier_r3_r3_d500,7,2023-03-20-09:29:29+01:00
19,Soldier_r3_r3_d250,5,2023-03-20-09:29:47+01:00
19,RedAndBlack_r3_r3_d125,5,2023-03-20-09:30:01+01:00
19,Soldier_r5_r5_d250,7,2023-03-20-09:30:16+01:00
19,Soldier_r5_r5_d500,8,2023-03-20-09:30:30+01:00
19,RedAndBlack_r1_r1_d250,4,2023-03-20-09:30:47+01:00
19,RedAndBlack_r1_r1_d500,4,2023-03-20-09:30:59+01:00
19,RedAndBlack_r3_r3_d500,6,2023-03-20-09:31:16+01:00
19,RedAndBlack_r5_r5_d500,8,2023-03-20-09:31:31+01:00
19,Soldier_r1_r1_d250,2,2023-03-20-09:31:47+01:00
19,RedAndBlack_r5_r5_d250,5,2023-03-20-09:32:03+01:00
19,RedAndBlack_r1_r1_d125,3,2023-03-20-09:32:19+01:00
19,RedAndBlack_r3_r3_d250,4,2023-03-20-09:32:33+01:00
19,RedAndBlack_r5_r5_d125,7,2023-03-20-09:32:48+01:00
19,Soldier_r1_r1_d500,5,2023-03-20-09:33:04+01:00
19,Soldier_r5_r5_d125,5,2023-03-20-09:33:16+01:00
19,Soldier_r1_r1_d125,1,2023-03-20-09:33:30+01:00
19,Soldier_r3_r3_d125,3,2023-03-20-09:33:45+01:00
19,Loot_r3_r3_d500,3,2023-03-20-09:33:58+01:00
19,Loot_r1_r3_d500,1,2023-03-20-09:34:12+01:00
19,LongDress_r5_r5_d500,3,2023-03-20-09:34:26+01:00
19,LongDress_r1_r1_d500,1,2023-03-20-09:34:41+01:00
19,LongDress_r5_r3_d500,3,2023-03-20-09:34:56+01:00
19,Loot_r3_r1_d500,1,2023-03-20-09:35:09+01:00
19,LongDress_r3_r5_d500,3,2023-03-20-09:35:25+01:00
19,Loot_r5_r5_d500,4,2023-03-20-09:35:40+01:00
19,LongDress_r1_r3_d500,1,2023-03-20-09:35:53+01:00
19,LongDress_r1_r5_d500,2,2023-03-20-09:36:10+01:00
19,Loot_r1_r1_d500,1,2023-03-20-09:36:24+01:00
19,LongDress_r3_r3_d500,3,2023-03-20-09:36:40+01:00
19,LongDress_r5_r1_d500,4,2023-03-20-09:37:14+01:00
19,Loot_r3_r5_d500,4,2023-03-20-09:37:27+01:00
19,Loot_r1_r5_d500,3,2023-03-20-09:37:42+01:00
19,LongDress_r3_r1_d500,1,2023-03-20-09:37:57+01:00
19,Loot_r5_r3_d500,4,2023-03-20-09:38:13+01:00
19,Loot_r5_r1_d500,1,2023-03-20-09:38:27+01:00
20,Loot_r3_r3_d500,7,2023-03-20-09:59:16+01:00
20,LongDress_r1_r1_d500,6,2023-03-20-09:59:41+01:00
20,Loot_r3_r1_d500,5,2023-03-20-10:00:08+01:00
20,Loot_r1_r3_d500,6,2023-03-20-10:00:23+01:00
20,Loot_r5_r1_d500,4,2023-03-20-10:00:40+01:00
20,LongDress_r3_r5_d500,6,2023-03-20-10:00:54+01:00
20,LongDress_r1_r3_d500,4,2023-03-20-10:01:10+01:00
20,LongDress_r5_r3_d500,7,2023-03-20-10:01:32+01:00
20,Loot_r5_r3_d500,7,2023-03-20-10:01:51+01:00
20,LongDress_r3_r3_d500,7,2023-03-20-10:02:03+01:00
20,Loot_r1_r1_d500,3,2023-03-20-10:02:22+01:00
20,LongDress_r3_r1_d500,4,2023-03-20-10:02:43+01:00
20,LongDress_r1_r5_d500,4,2023-03-20-10:02:57+01:00
20,Loot_r1_r5_d500,4,2023-03-20-10:03:10+01:00
20,Loot_r3_r5_d500,7,2023-03-20-10:03:27+01:00
20,LongDress_r5_r1_d500,5,2023-03-20-10:03:55+01:00
20,Loot_r5_r5_d500,7,2023-03-20-10:04:21+01:00
20,LongDress_r5_r5_d500,7,2023-03-20-10:04:33+01:00
20,RedAndBlack_r1_r1_d250,4,2023-03-20-10:05:00+01:00
20,RedAndBlack_r3_r3_d250,6,2023-03-20-10:05:18+01:00
20,RedAndBlack_r5_r5_d250,8,2023-03-20-10:05:44+01:00
20,Soldier_r1_r1_d125,1,2023-03-20-10:06:04+01:00
20,Soldier_r5_r5_d500,7,2023-03-20-10:06:22+01:00
20,Soldier_r5_r5_d125,1,2023-03-20-10:06:40+01:00
20,RedAndBlack_r3_r3_d125,6,2023-03-20-10:07:01+01:00
20,Soldier_r3_r3_d125,3,2023-03-20-10:07:21+01:00
20,Soldier_r3_r3_d500,6,2023-03-20-10:07:36+01:00
20,RedAndBlack_r3_r3_d500,7,2023-03-20-10:07:52+01:00
20,RedAndBlack_r5_r5_d500,8,2023-03-20-10:08:11+01:00
20,RedAndBlack_r5_r5_d125,5,2023-03-20-10:08:31+01:00
20,Soldier_r1_r1_d250,2,2023-03-20-10:08:45+01:00
20,RedAndBlack_r1_r1_d500,4,2023-03-20-10:09:00+01:00
20,RedAndBlack_r1_r1_d125,2,2023-03-20-10:09:14+01:00
20,Soldier_r1_r1_d500,3,2023-03-20-10:09:27+01:00
20,Soldier_r5_r5_d250,4,2023-03-20-10:09:43+01:00
20,Soldier_r3_r3_d250,3,2023-03-20-10:09:56+01:00
21,RedAndBlack_r5_r5_d500,8,2023-03-20-10:37:30+01:00
21,Soldier_r1_r1_d500,3,2023-03-20-10:37:49+01:00
21,RedAndBlack_r3_r3_d125,4,2023-03-20-10:38:08+01:00
21,RedAndBlack_r5_r5_d125,6,2023-03-20-10:38:24+01:00
21,Soldier_r5_r5_d250,7,2023-03-20-10:38:40+01:00
21,RedAndBlack_r3_r3_d250,5,2023-03-20-10:38:57+01:00
21,RedAndBlack_r3_r3_d500,5,2023-03-20-10:39:09+01:00
21,Soldier_r1_r1_d250,2,2023-03-20-10:39:25+01:00
21,RedAndBlack_r1_r1_d500,2,2023-03-20-10:39:38+01:00
21,Soldier_r5_r5_d125,5,2023-03-20-10:39:58+01:00
21,Soldier_r5_r5_d500,8,2023-03-20-10:40:17+01:00
21,Soldier_r3_r3_d500,5,2023-03-20-10:40:33+01:00
21,RedAndBlack_r1_r1_d125,1,2023-03-20-10:40:49+01:00
21,Soldier_r1_r1_d125,1,2023-03-20-10:41:01+01:00
21,Soldier_r3_r3_d250,6,2023-03-20-10:41:18+01:00
21,Soldier_r3_r3_d125,5,2023-03-20-10:41:35+01:00
21,RedAndBlack_r5_r5_d250,6,2023-03-20-10:41:50+01:00
21,RedAndBlack_r1_r1_d250,4,2023-03-20-10:42:05+01:00
21,LongDress_r5_r3_d500,6,2023-03-20-10:42:26+01:00
21,Loot_r5_r5_d500,8,2023-03-20-10:42:42+01:00
